ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
1435,0,Sudan,0,34.2833,17.1112,326113.13,28-08-98,10-09-98,News,25,816000,Heavy rain,2
4272,,Pakistan,,72.2737,34.3432,137039.96,15-07-15,19-08-15,News,166,803000,Monsoonal Rain,1.5
94,0,Chinaÿ,0,128.148,45.246,599142.99,25-06-86,24-08-86,News,0,800000,Torrential rain,1
3963,,China,,122.594,40.5195,9559.89,03-08-12,06-08-12,News,2,800000,Typhoons  Damrey and Saola,2
4789,,Japan,,130.545,32.9506,10883.12,28-08-19,29-08-19,FloodList,2,800000,Heavy Rain,1.5
1731,0,India,Bangladesh,92.0058,24.4457,17561.54,05-06-01,22-06-01,News,15,800000,Monsoonal rain,1
3220,FL-2007-000200-MEX,Mexico,0,-92.413,17.6693,35809.25,28-10-07,01-12-07,News,19,800000,Heavy rain,1.5
4634,,India,,93.3551,26.8948,209440.59,12-06-18,20-06-18,FloodList,20,800000,Monsoonal Rain,1.5
428,0,Bangledesh,0,92.1228,22.4252,49249.02,26-06-90,08-07-90,News,23,800000,Heavy rain,1
1612,0,Philippines,Japan,120.823,14.9292,11595.06,04-07-00,10-07-00,News,45,800000,Brief torrential rain,1
1743,0,Philippines,China,110.999,22.9085,205221.43,01-07-01,19-07-01,News,178,800000,Heavy rain,2
1587,0,Madagascar,0,47.2957,-15.7826,255303.35,17-02-00,11-03-00,News,200,800000,Tropical cyclone,1
3750,0,Columbia,0,-72.9604,4.11351,1140146.22,15-11-10,20-12-10,News,250,800000,Heavy Rain,1.5
855,0,India,0,76.6191,20.6258,1981837.41,01-07-94,24-07-94,News,617,800000,Monsoonal rain,1
1174,0,China,0,120.262,29.9379,67369.75,15-08-97,21-08-97,News,56,790000,Tropical cyclone,1
1575,0,Colombiaÿ,0,-73.4589,7.55452,199850.29,15-09-99,15-12-99,News,0,771000,Heavy rain,1
1028,0,Philippines,0,122.518,13.2727,209708.23,28-10-95,05-11-95,News,765,766000,Tropical cyclone,1
1399,0,China,0,119.82,27.6882,54190.53,12-06-98,25-06-98,News,126,750000,Heavy rain,2
3984,,Pakistan,,68.7756,28.0445,23036.11,10-09-12,29-10-12,News,400,742000,Monsoonal Rain,1.5
1583,0,Mozambique,0,31.712,-27.8219,439042.75,26-01-00,27-03-00,News,929,733000,Heavy rain,2
1548,0,China,0,117.386,27.0353,112209.14,06-09-99,07-09-99,News,153,720000,Brief torrential rain,1
469,0,Bangladesh,0,89.9598,24.4682,41676.27,10-10-90,13-10-90,News,9,700000,Torrential rain,1
901,0,Russia,0,134.79,45.0556,140070.73,17-09-94,26-09-94,News,13,700000,Heavy rain,2
